"areaid","name","COUNTRYID","STATEID","is_deleted","createdbystaffid","createdate","lastmodifiedbystaffid","lastmodifieddate","createbyname","updatebyname","CITYID","status","pincodeid"
95,Pissurlem,1,1,0,1,"2021-12-12 11:11:39",1,"2021-12-12 11:11:39",admin admin,admin admin,1,Active,2
96,Pomburpa,1,1,0,1,"2021-12-13 11:11:39",1,"2021-12-13 11:11:39",admin admin,admin admin,1,Active,19
97,Ponda,1,1,0,1,"2021-12-14 11:11:39",1,"2021-12-14 11:11:39",admin admin,admin admin,1,Active,40
98,Poriem,1,1,0,1,"2021-12-15 11:11:39",1,"2021-12-15 11:11:39",admin admin,admin admin,1,Active,25
99,Poroscodem,1,1,0,1,"2021-12-16 11:11:39",1,"2021-12-16 11:11:39",admin admin,admin admin,1,Active,3
100,Porvorim,1,1,0,1,"2021-12-17 11:11:39",1,"2021-12-17 11:11:39",admin admin,admin admin,1,Active,41
101,Pratapnagar Harvale,1,1,0,1,"2021-12-18 11:11:39",1,"2021-12-18 11:11:39",admin admin,admin admin,1,Active,25
102,Querim,1,1,0,1,"2021-12-19 11:11:39",1,"2021-12-19 11:11:39",admin admin,admin admin,1,Active,7
103,Qurinpani,1,1,0,1,"2021-12-20 11:11:39",1,"2021-12-20 11:11:39",admin admin,admin admin,1,Active,7
104,Reis Magos,1,1,0,1,"2021-12-21 11:11:39",1,"2021-12-21 11:11:39",admin admin,admin admin,1,Active,35
105,Revora,1,1,0,1,"2021-12-22 11:11:39",1,"2021-12-22 11:11:39",admin admin,admin admin,1,Active,28
106,Ribandar,1,1,0,1,"2021-12-23 11:11:39",1,"2021-12-23 11:11:39",admin admin,admin admin,1,Active,26
107,Saipem,1,1,0,1,"2021-12-24 11:11:39",1,"2021-12-24 11:11:39",admin admin,admin admin,1,Active,22
108,Salem,1,1,0,1,"2021-12-25 11:11:39",1,"2021-12-25 11:11:39",admin admin,admin admin,1,Active,1
109,Saligao,1,1,0,1,"2021-12-26 11:11:39",1,"2021-12-26 11:11:39",admin admin,admin admin,1,Active,42
110,Salvador De mundo,1,1,0,1,"2021-12-27 11:11:39",1,"2021-12-27 11:11:39",admin admin,admin admin,1,Active,13
111,Sancordem,1,1,0,1,"2021-12-28 11:11:39",1,"2021-12-28 11:11:39",admin admin,admin admin,1,Active,21
112,Sangolda,1,1,0,1,"2021-12-29 11:11:39",1,"2021-12-29 11:11:39",admin admin,admin admin,1,Active,42
113,Sanquelim,1,1,0,1,"2021-12-30 11:11:39",1,"2021-12-30 11:11:39",admin admin,admin admin,1,Active,25
114,Santa Cruz,1,1,0,1,"2021-12-31 11:11:39",1,"2021-12-31 11:11:39",admin admin,admin admin,1,Active,43
115,Sanvordem,1,1,0,1,"2022-01-01 11:11:39",1,"2022-01-01 11:11:39",admin admin,admin admin,1,Active,17
116,Secretariat,1,1,0,1,"2022-01-02 11:11:39",1,"2022-01-02 11:11:39",admin admin,admin admin,1,Active,5
117,Sem Saligao,1,1,0,1,"2022-01-03 11:11:39",1,"2022-01-03 11:11:39",admin admin,admin admin,1,Active,42
118,Shiroda,1,1,0,1,"2022-01-04 11:11:39",1,"2022-01-04 11:11:39",admin admin,admin admin,1,Active,44
119,Sinquerim,1,1,0,1,"2022-01-05 11:11:39",1,"2022-01-05 11:11:39",admin admin,admin admin,1,Active,22
120,Siolim,1,1,0,1,"2022-01-06 11:11:39",1,"2022-01-06 11:11:39",admin admin,admin admin,1,Active,37
121,Sirgao,1,1,0,1,"2022-01-07 11:11:39",1,"2022-01-07 11:11:39",admin admin,admin admin,1,Active,1
122,Siridao,1,1,0,1,"2022-01-08 11:11:39",1,"2022-01-08 11:11:39",admin admin,admin admin,1,Active,12
123,Sirsaim,1,1,0,1,"2022-01-09 11:11:39",1,"2022-01-09 11:11:39",admin admin,admin admin,1,Active,45
124,St Inez,1,1,0,1,"2022-01-10 11:11:39",1,"2022-01-10 11:11:39",admin admin,admin admin,1,Active,18
125,St.Lourence,1,1,0,1,"2022-01-11 11:11:39",1,"2022-01-11 11:11:39",admin admin,admin admin,1,Active,46
126,Succour Pssk,1,1,0,1,"2022-01-12 11:11:39",1,"2022-01-12 11:11:39",admin admin,admin admin,1,Active,41
127,Surla,1,1,0,1,"2022-01-13 11:11:39",1,"2022-01-13 11:11:39",admin admin,admin admin,1,Active,25
128,Tamboxem,1,1,0,1,"2022-01-14 11:11:39",1,"2022-01-14 11:11:39",admin admin,admin admin,1,Active,3
129,Tarvalem,1,1,0,1,"2022-01-15 11:11:39",1,"2022-01-15 11:11:39",admin admin,admin admin,1,Active,44
130,Thana,1,1,0,1,"2022-01-16 11:11:39",1,"2022-01-16 11:11:39",admin admin,admin admin,1,Active,17
131,Tivim,1,1,0,1,"2022-01-17 11:11:39",1,"2022-01-17 11:11:39",admin admin,admin admin,1,Active,45
132,Tivim Ie,1,1,0,1,"2022-01-18 11:11:39",1,"2022-01-18 11:11:39",admin admin,admin admin,1,Active,47
133,Torxem,1,1,0,1,"2022-01-19 11:11:39",1,"2022-01-19 11:11:39",admin admin,admin admin,1,Active,3
134,Tuem,1,1,0,1,"2022-01-20 11:11:39",1,"2022-01-20 11:11:39",admin admin,admin admin,1,Active,3
135,Tuem I e,1,1,0,1,"2022-01-21 11:11:39",1,"2022-01-21 11:11:39",admin admin,admin admin,1,Active,3
136,Ucassiam,1,1,0,1,"2022-01-22 11:11:39",1,"2022-01-22 11:11:39",admin admin,admin admin,1,Active,9
137,Usgao,1,1,0,1,"2022-01-23 11:11:39",1,"2022-01-23 11:11:39",admin admin,admin admin,1,Active,48
138,Valpoi,1,1,0,1,"2022-01-24 11:11:39",1,"2022-01-24 11:11:39",admin admin,admin admin,1,Active,17
139,Varconda,1,1,0,1,"2022-01-25 11:11:39",1,"2022-01-25 11:11:39",admin admin,admin admin,1,Active,3
140,Velguem O,1,1,0,1,"2022-01-26 11:11:39",1,"2022-01-26 11:11:39",admin admin,admin admin,1,Active,17
141,Velha-goa,1,1,0,1,"2022-01-27 11:11:39",1,"2022-01-27 11:11:39",admin admin,admin admin,1,Active,49
142,Virnora,1,1,0,1,"2022-01-28 11:11:39",1,"2022-01-28 11:11:39",admin admin,admin admin,1,Active,3
